,image name,point type,point #,x,y
53,PreMap/IMG_7738.JPG,xeno,1,345,271
54,PreMap/IMG_7738.JPG,xeno,2,345,265
55,PreMap/IMG_8386.JPG,xeno,1,321,230
56,PreMap/IMG_8386.JPG,xeno,2,321,226
57,PreMap/IMG_2521.JPG,xeno,1,751,263
58,PreMap/IMG_2521.JPG,xeno,2,752,261
59,PreMap/IMG_1148.JPG,xeno,1,492,329
60,PreMap/IMG_2337.JPG,xeno,1,521,364
61,PreMap/IMG_2337.JPG,xeno,2,521,359
62,PreMap/IMG_2337.JPG,xeno,3,517,361
63,PreMap/IMG_4801.JPG,xeno,1,224,239
64,PreMap/IMG_4801.JPG,xeno,2,224,235
65,PreMap/IMG_4829.JPG,xeno,1,471,286
66,PreMap/IMG_2257.JPG,xeno,1,270,647
67,PreMap/IMG_2257.JPG,xeno,2,511,303
68,PreMap/IMG_2257.JPG,xeno,3,514,303
69,PreMap/IMG_2531.JPG,xeno,1,466,306
70,PreMap/IMG_2531.JPG,xeno,2,468,306
71,PreMap/IMG_2256.JPG,xeno,1,420,257
72,PreMap/IMG_2256.JPG,xeno,2,423,257
73,PreMap/IMG_2256.JPG,xeno,3,427,254
74,PreMap/IMG_6346.JPG,xeno,1,502,255
75,PreMap/IMG_2095.JPG,xeno,1,738,333
76,PreMap/IMG_2095.JPG,xeno,2,741,332
77,PreMap/IMG_1012.JPG,xeno,1,496,256
78,PreMap/IMG_1012.JPG,xeno,2,502,256
79,PreMap/IMG_8022.JPG,xeno,1,289,346
80,PreMap/IMG_2269.JPG,xeno,1,677,297
81,PreMap/IMG_2269.JPG,xeno,2,677,297
82,PreMap/IMG_2335.JPG,xeno,1,761,311
83,PreMap/IMG_2335.JPG,xeno,2,765,309
84,PreMap/IMG_8643.JPG,xeno,1,564,233
85,PreMap/IMG_2635 (1).JPG,xeno,1,593,627
86,PreMap/IMG_2635 (1).JPG,xeno,2,721,230
87,PreMap/IMG_1102.JPG,xeno,1,524,261
88,PreMap/IMG_0966.JPG,xeno,1,81,646
89,PreMap/IMG_0966.JPG,xeno,2,552,332
90,PreMap/IMG_2354.JPG,xeno,1,609,627
91,PreMap/IMG_2354.JPG,xeno,2,593,225
92,PreMap/IMG_2545.JPG,xeno,1,530,197
93,PreMap/IMG_2342.JPG,xeno,1,456,321
94,PreMap/IMG_2342.JPG,xeno,2,457,315
95,PreMap/IMG_2342.JPG,xeno,3,457,313
96,PreMap/IMG_7762.JPG,xeno,1,584,221
97,PreMap/IMG_7762.JPG,xeno,2,595,207
98,PreMap/IMG_8460.JPG,fin,1,334,297
99,PreMap/IMG_8460.JPG,fin,2,187,413
100,PreMap/IMG_8460.JPG,fin,3,340,404
101,PreMap/IMG_4851.JPG,fin,1,520,247
102,PreMap/IMG_4851.JPG,fin,2,362,361
103,PreMap/IMG_4851.JPG,fin,3,516,350
121,PreMap/IMG_2561.JPG,fin,1,658,257
122,PreMap/IMG_2561.JPG,fin,2,576,332
123,PreMap/IMG_2561.JPG,fin,3,654,327
124,PreMap/IMG_2212.JPG,fin,1,497,311
125,PreMap/IMG_2212.JPG,fin,2,448,369
126,PreMap/IMG_2212.JPG,fin,3,496,358
127,PreMap/IMG_1692.JPG,fin,1,453,73
128,PreMap/IMG_1692.JPG,fin,2,205,296
129,PreMap/IMG_1692.JPG,fin,3,477,261
130,PreMap/IMG_2358.JPG,fin,1,569,297
131,PreMap/IMG_2358.JPG,fin,2,421,400
132,PreMap/IMG_2358.JPG,fin,3,558,401
133,PreMap/IMG_4846.JPG,fin,1,542,235
134,PreMap/IMG_4846.JPG,fin,2,363,384
135,PreMap/IMG_4846.JPG,fin,3,533,380
136,PreMap/IMG_1080.JPG,fin,1,545,248
137,PreMap/IMG_1080.JPG,fin,2,423,342
138,PreMap/IMG_1080.JPG,fin,3,541,333
139,PreMap/IMG_4847.JPG,fin,1,505,256
140,PreMap/IMG_4847.JPG,fin,2,308,408
141,PreMap/IMG_4847.JPG,fin,3,492,403
142,PreMap/IMG_2566.JPG,fin,1,471,220
143,PreMap/IMG_2566.JPG,fin,2,319,327
144,PreMap/IMG_2566.JPG,fin,3,458,319
145,PreMap/IMG_4842.JPG,fin,1,531,212
146,PreMap/IMG_4842.JPG,fin,2,280,391
147,PreMap/IMG_4842.JPG,fin,3,536,393
148,PreMap/IMG_7742.JPG,fin,1,417,298
149,PreMap/IMG_7742.JPG,fin,2,332,368
150,PreMap/IMG_7742.JPG,fin,3,409,358
151,PreMap/IMG_2571.JPG,fin,1,525,238
152,PreMap/IMG_2571.JPG,fin,2,486,295
153,PreMap/IMG_2571.JPG,fin,3,525,283
154,PreMap/IMG_2890.JPG,fin,1,386,267
155,PreMap/IMG_2890.JPG,fin,2,345,345
156,PreMap/IMG_2890.JPG,fin,3,407,334
157,PreMap/IMG_2270.JPG,fin,1,459,300
158,PreMap/IMG_2270.JPG,fin,2,375,355
159,PreMap/IMG_2270.JPG,fin,3,450,354
160,PreMap/IMG_8416.JPG,fin,1,465,233
161,PreMap/IMG_8416.JPG,fin,2,347,354
162,PreMap/IMG_8416.JPG,fin,3,480,334
163,PreMap/IMG_2273.JPG,fin,1,691,261
164,PreMap/IMG_2273.JPG,fin,2,613,300
165,PreMap/IMG_2273.JPG,fin,3,675,303
166,PreMap/IMG_2312.JPG,fin,1,579,279
167,PreMap/IMG_2312.JPG,fin,2,424,384
168,PreMap/IMG_2312.JPG,fin,3,575,385
169,PreMap/IMG_2276.JPG,fin,1,456,225
170,PreMap/IMG_2276.JPG,fin,2,327,309
171,PreMap/IMG_2276.JPG,fin,3,437,305
172,PreMap/IMG_2277.JPG,fin,1,552,218
173,PreMap/IMG_2277.JPG,fin,2,415,296
174,PreMap/IMG_2277.JPG,fin,3,531,297
175,PreMap/IMG_2303.JPG,fin,1,624,269
176,PreMap/IMG_2303.JPG,fin,2,469,354
177,PreMap/IMG_2303.JPG,fin,3,600,360
178,PreMap/IMG_2465.JPG,fin,1,506,220
179,PreMap/IMG_2465.JPG,fin,2,395,377
180,PreMap/IMG_2465.JPG,fin,3,544,362
181,PreMap/IMG_2513.JPG,fin,1,592,181
